"Index","Count","Hash","Size","Format","Levels","Png","Dds"
"123","3","0x7E9D38FC703AC01F","128x128","A8R8G8B8","1","re_docs\hud_pause_candidate_png_2100\cand_123.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_7E9D38FC703AC01F_128x128_A8R8G8B8.dds"
"124","3","0xA0C0193B88A89405","128x128","A8R8G8B8","1","re_docs\hud_pause_candidate_png_2100\cand_124.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A0C0193B88A89405_128x128_A8R8G8B8.dds"
"125","3","0xCDD235F2CC851BE8","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_125.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_CDD235F2CC851BE8_128x64_DXT1.dds"
"126","3","0xF47C8AD8C017C530","32x32","DXT1","6","re_docs\hud_pause_candidate_png_2100\cand_126.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_F47C8AD8C017C530_32x32_DXT1.dds"
"127","3","0xCA79DF91FF5164C9","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_127.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_CA79DF91FF5164C9_128x64_DXT1.dds"
"128","3","0x2B4816BD87376AA3","1024x128","A8R8G8B8","1","re_docs\hud_pause_candidate_png_2100\cand_128.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_2B4816BD87376AA3_1024x128_A8R8G8B8.dds"
"129","3","0x87FA96461BBB8A07","64x64","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_129.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_87FA96461BBB8A07_64x64_A8R8G8B8.dds"
"130","3","0xDED0650023F03570","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_130.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_DED0650023F03570_128x32_DXT1.dds"
"131","3","0xFD8EA403658ED7AF","64x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_131.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_FD8EA403658ED7AF_64x32_DXT1.dds"
"132","3","0xACA55677EF4CD54D","64x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_132.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_ACA55677EF4CD54D_64x32_DXT1.dds"
